level,agent_name,weight_file,difficulty,obstacles,run_id,reward,steps,collisions,success
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,39,1726.0,395,0,1
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,20,-25876.0,1000,4,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,21,1832.0,296,0,1
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,22,-8401.0,528,3,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,23,-73062.0,994,17,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,24,-130081.0,1000,7,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,25,-38740.0,669,10,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,26,1470.0,660,0,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,27,-5053.0,179,2,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,28,-5555.0,81,3,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,29,-5949.0,75,2,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,30,-62390.0,1000,23,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,31,-177683.0,1000,1,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,32,-141270.0,1000,6,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,33,-66175.0,1000,15,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,0,34,-50376.0,697,12,0
